"fecha";"lugar";"local";"away";"id";"pts";"MIN_local";"FG_local";"PT3_local";"TL_local";"OREB_local";"DREB_local";"REB_local";"AST_local";"STL_local";"TOV_local";"PF_local";"PM_local";"PTS_local";"MIN_visita";"FG_visita";"PT3_visita";"TL_visita";"OREB_visita";"DREB_visita";"REB_visita";"AST_visita";"STL_visita";"TOV_visita";"PF_visita";"PM_visita";"PTS_visita"
2023-01-10;"UT";"Jazz";"Cavaliers";401468769;230;0;0;0;0;0;0;0;0;0;0;0;0;0;240;4.11096681096681;1.63095238095238;5.16666666666667;7;39;46;15;9;14;17;10;90
2023-01-10;"CA";"Warriors";"Suns";401468770;238;0;0;0;0;0;0;0;0;0;0;0;0;0;191;2.77142857142857;1.91666666666667;3.25;8;36;44;14;6;9;15;-15;61
2023-01-10;"OR";"Trail Blazers";"Magic";401468771;215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-10;"CA";"Clippers";"Mavericks";401468772;214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-11;"MI";"Pistons";"Timberwolves";401468773;253;205;4.28318250377074;2.25;2.5;7;23;30;23;8;19;19;-59;91;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-11;"DC";"Wizards";"Bulls";401468774;197;179;5.26884920634921;2.13333333333333;1.83333333333333;7;37;44;25;5;13;6;87;77;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-11;"GA";"Hawks";"Bucks";401468775;219;0;0;0;0;0;0;0;0;0;0;0;0;0;210;3.78784271284271;2.45555555555556;4.5;12;26;38;19;9;13;11;-96;89
2023-01-11;"MA";"Celtics";"Pelicans";401468776;239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-11;"NY";"Knicks";"Pacers";401468777;232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-11;"TN";"Grizzlies";"Spurs";401468778;264;240;4.98062624509993;3.6;4.10606060606061;11;39;50;26;9;13;15;40;121;240;4.6726911976912;3.15;6;12;30;42;28;8;14;24;-40;113
